¿Quién fue el último Rey Azteca?,Cuauhtémoc
¿Cuántas mujeres vírgenes promete el Islam a sus miembros suicidas?,72
¿Cuántos jinetes del Apocalipsis existen según la Bíblia?,4
¿Quién pintó “El hijo del Hombre”?,René Magritte
¿En qué película debutó Leonardo DiCaprio?,Critters 3
¿Quién es el atleta que ha ganado más medallas en la historia de las olimpiadas?,Michael Phelps
¿Quién fue el director de “El Ángel Exterminador”?,Luis Buñuel
¿Cuántos anillos de poder hay en “El Señor de los Anillos”?,20
¿Cuál es el animal más grande que jamás haya existido?,La ballena azul
¿Hermano de Paris en la mitología griega?,Héctor
